date,1,2,3,4,5,6,7,8,9,10
10 Apr 2026,25.57,11.7717,0.863,2.408,25.67,1.4942,566.1843,1.11245,7.6,24
09 Apr 2026,25.31,11.706,0.863,2.39,25.61,1.4941,565.4149,1.11238,7.59,24
08 Apr 2026,25.38,11.7089,0.862,2.409,25.23,1.494,574.9266,1.11229,7.59,23.98
07 Apr 2026,24.03571429,11.5281,0.859,2.344,23.32,1.4939,544.9462,1.11216,7.39,23.77
06 Apr 2026,24.00125,11.33555,0.86,2.368,22.9375,1.4939,530.9651,1.11234,7.39,23.62375
03 Apr 2026,24.00333333,11.32193333,0.858777778,2.371,23.03888889,1.4932,508.7738889,1.111775556,7.362222222,23.62888889
02 Apr 2026,24.39,11.407,0.86,2.377,22.82,1.4934,530.9651,1.11194,7.37,23.72
01 Apr 2026,24.52,11.4359,0.859,2.39,23.2,1.4933,545.8801,1.11202,7.38,23.71
31 Mar 2026,24.08,11.2445,0.859,2.353,21.9,1.4933,512.0707,1.11193,7.39,23.63
30 Mar 2026,23.62,11.139,0.86,2.358,21.85,1.4933,510.7411,1.11174,7.27,23.5
27 Mar 2026,23.6,11.2893,0.857,2.357,22.56,1.4932,488.4213,1.11171,7.28,23.48
26 Mar 2026,23.91,11.3602,0.858,2.353,23.2,1.4931,503.1269,1.11178,7.35,23.59
25 Mar 2026,24.13,11.4305,0.86,2.395,24.39,1.4931,509.6988,1.11171,7.43,23.72
24 Mar 2026,23.76,11.378,0.858,2.363,23.58,1.4931,488.2139,1.11159,7.39,23.64
23 Mar 2026,24.02,11.213,0.858,2.327,23.85,1.493,489.8471,1.11156,7.4,23.67
20 Mar 2026,23.56,11.5188,0.859,2.36,23.3,1.4929,485.0609,1.11172,7.3,23.61
19 Mar 2026,23.93,11.6022,0.865,2.376,23.44,1.4928,489.4688,1.11184,7.43,23.72
18 Mar 2026,24.56,11.8968,0.866,2.435,23.46,1.4927,525.5075,1.1119,7.41,23.79
17 Mar 2026,24.84,11.7816,0.867,2.467,23.19,1.4926,557.0886,1.11195,7.51,23.84
16 Mar 2026,24.68,11.7856,0.87,2.468,23.17,1.4926,558.3749,1.11197,7.47,23.78
13 Mar 2026,24.58,11.8336,0.87,2.468,22.58,1.4924,565.7022,1.11189,7.39,23.74
12 Mar 2026,24.59,11.9291,0.87,2.461,22.54,1.4924,578.4126,1.11185,7.45,23.83
